Town Code,Service District Code,Municipality,Millrate,Grand List Year,Fiscal Year,
1,0,Andover,30.77,2012,2014,
2,0,Ansonia,39.34,2012,2014,
3,0,Ashford,31.65,2012,2014,
4,0,Avon,26.32,2012,2014,
5,0,Barkhamsted,24.26,2012,2014,
5,1,Barkhamsted - Fire District,1.43,2012,2014,
5,1,Barkhamsted + Barkhamsted - Fire District,25.69,2012,2014,
6,0,Beacon Falls,31.9,2012,2014,
7,0,Berlin,28.77,2012,2014,
7,1,Berlin - Kensington Fire District,1.1,2012,2014,
7,2,Berlin - Worthington Fire District,2.1,2012,2014,
8,0,Bethany,29.6,2012,2014,
9,0,Bethel,31.5,2012,2014,
10,0,Bethlehem,20.5,2012,2014,
11,0,Bloomfield,34.85,2012,2014,
11,1,Bloomfield - Center Fire District,0.9,2012,2014,
11,2,Bloomfield - Blue Hill Fire District,2.5,2012,2014,
12,0,Bolton,30.96,2012,2014,
13,0,Bozrah,26.25,2012,2014,
14,0,Branford,25.59,2012,2014,
15,0,Bridgeport,41.855,2012,2014,
16,0,Bridgewater,17.5,2012,2014,
17,0,Bristol,33.5,2012,2014,
18,0,Brookfield,25.4,2012,2014,
19,0,Brooklyn,23.19,2012,2014,
20,0,Burlington,27.5,2012,2014,
21,0,Canaan,21.5,2012,2014,
22,0,Canterbury,21.7,2012,2014,
23,0,Canton,26.91,2012,2014,
24,0,Chaplin,30.15,2012,2014,
25,0,Cheshire,27.6,2012,2014,
26,0,Chester,21.95,2012,2014,
27,0,Clinton,25.43,2012,2014,
28,0,Colchester,30.28,2012,2014,
29,0,Colebrook,27.1,2012,2014,
30,0,Columbia,27.13,2012,2014,
31,0,Cornwall,14.5,2012,2014,
32,0,Coventry,27.97,2012,2014,
33,0,Cromwell,30.75,2012,2014,
33,1,Cromwell - Fire District,2.1,2012,2014,
33,1,Cromwell + Cromwell - Fire District,32.85,2012,2014,
34,0,Danbury,26.8,2012,2014,
35,0,Darien,13.17,2012,2014,
36,0,Deep River,25.08,2012,2014,
37,0,Derby,35.34,2012,2014,
38,0,Durham,32.66,2012,2014,
39,0,Eastford,21.5,2012,2014,
40,0,East Granby,28.2,2012,2014,
41,0,East Haddam,26.01,2012,2014,
42,0,East Hampton,26.63,2012,2014,
43,0,East Hartford,43.9,2012,2014,
44,0,East Haven,30.95,2012,2014,
45,0,East Lyme,23.349,2012,2014,
46,0,Easton,29.3,2012,2014,
47,0,East Windsor,29.7791,2012,2014,
48,0,Ellington,28.4,2012,2014,
49,0,Enfield,29.26,2012,2014,
49,1,Enfield - Fire District #1,3.15,2012,2014,
49,2,Enfield - Thompsonville Fire Dist. #2,6.45,2012,2014,
49,3,Enfield - Hazardville Fire Dist.#3,2.1,2012,2014,
49,4,Enfield - No. Thompsonville Fire Dist. #4,3.05,2012,2014,
49,5,Enfield - Shaker Pines Fire Dist #5,2.3,2012,2014,
50,0,Essex,18.99,2012,2014,
51,0,Fairfield,23.93,2012,2014,
52,0,Farmington,24.07,2012,2014,
53,0,Franklin,21.54,2012,2014,
54,0,Glastonbury,35.1,2012,2014,
55,0,Goshen,19.2,2012,2014,
56,0,Granby,34.83,2012,2014,
57,0,Greenwich,10.675,2012,2014,
57,1,Greenwich - Sewer,0.636,2012,2014,
57,1,Greenwich + Greenwich - Sewer,11.311,2012,2014,
58,0,Griswold,26.03,2012,2014,
59,0,Groton,20.72,2012,2014,
59,1,Groton - City of Groton,4.595,2012,2014,
59,2,Groton - Poquonock Bridge Fire Dist.,5.2,2012,2014,
85,0,Monroe,30.41,2012,2014,
59,3,Groton - Mystic Fire Dist.,2.16,2012,2014,
59,4,Groton - Noank Fire Dist.,1.39,2012,2014,
59,5,Groton - Old Mystic Fire Dist.,2.8,2012,2014,
59,6,Groton - Long Point Assoc.,2.928,2012,2014,
59,7,Groton - Center Fire Dist.,3.5,2012,2014,
59,8,Groton - West Pleasant Valley Fire Dist.,2.8,2012,2014,
59,9,Groton - Mumford Cove,0.305,2012,2014,
59,10,Groton - Sewer District,0.25,2012,2014,
60,0,Guilford,23.06,2012,2014,
61,0,Haddam,29.48,2012,2014,
62,0,Hamden,38.9405,2012,2014,
63,0,Hampton,24.8,2012,2014,
64,0,Hartford,74.29,2012,2014,
65,0,Hartland,24.5,2012,2014,
66,0,Harwinton,24.6,2012,2014,
67,0,Hebron,34.7,2012,2014,
68,0,Kent,14.45,2012,2014,
69,0,Killingly,20.7,2012,2014,
69,1,Killingly - Attawaugan Fire District,2.4,2012,2014,
69,2,Killingly - Dayville Fire District,1.5,2012,2014,
69,3,Killingly - Dyer Manor,0.45,2012,2014,
69,4,Killingly - East Killiingly Fire District,1.27,2012,2014,
69,5,Killingly - So. Killingly Fire District,1,2012,2014,
69,6,Killingly - Orient Heights Fire Dist. # 5,0.55,2012,2014,
69,7,Killingly -  Williamsville,1.98,2012,2014,
70,0,Killingworth,24.53,2012,2014,
71,0,Lebanon,23.9,2012,2014,
72,0,Ledyard,28.2,2012,2014,
73,0,Lisbon,19.4,2012,2014,
74,0,Litchfield,22.6,2012,2014,
75,0,Lyme,14,2012,2014,
76,0,Madison,20.39,2012,2014,
77,0,Manchester (Town),37.44,2012,2014,
77,1,Manchester Special,5.69,2012,2014,
77,1,Manchester + Special,43.13,2012,2014,
77,2,Manchester 8th Fire + Sewer,3.8,2012,2014,
77,3,Manchester 8th - Buckland Section Fire,1.9,2012,2014,
77,4,Manchester Eighth District Base,33.03,2012,2014,
78,0,Mansfield,27.95,2012,2014,
79,0,Marlborough,30.76,2012,2014,
80,0,Meriden,34.99,2012,2014,
80,1,Meriden Second,2.1,2012,2014,
80,1,Meriden + Meriden Second,37.09,2013,2014,
81,0,Middlebury,28.86,2012,2014,
82,0,Middlefield,33.24,2012,2014,
83,0,Middletown,27.7,2012,2014,
83,1,Middletown - City Fire,6.1,2012,2014,
83,1,Middletown + Middletown - City Fire,33.8,2012,2014,
83,2,Middletown - South Fire,3.648,2012,2014,
83,3,Middletown - Westfield Fire,1.26,2012,2014,
84,0,Milford,26.28,2012,2014,
86,0,Montville,29.06,2012,2014,
87,0,Morris,21.65,2012,2014,
87,0,Morris - Deer Island Assoc.,2.79,2012,2014,
88,0,Naugatuck,44.8,2012,2014,
89,0,New Britain,44.12,2012,2014,
89,1,New Britain + Downtown,4.2,2012,2014,
90,0,New Canaan,14.586,2012,2014,
90,1,New Canaan - Sewer,0.633,2012,2014,
90,1,New Canaan + New Canaan - Sewer,15.219,2012,2014,
91,0,New Fairfield,25.64,2012,2014,
92,0,New Hartford,24.95,2012,2014,
92,1,New Hartford - Village Fire District #1,1,2012,2014,
92,3,New Hartford - Pine Meadow Fire Dist. #3,1.75,2012,2014,
92,4,New Hartford - South End Fire District #4,0.55,2012,2014,
93,0,New Haven,40.8,2012,2014,
93,1,New Haven Town Green (FKA Downtown),1.88,2012,2014,
93,2,New Haven Chapel West (CWSS),2.5,2012,2014,
93,3,New Haven Whalley Ave. (WASF),,2012,2014,
93,4,New Haven Whalley Ave. (WASS),1.75,2012,2014,
93,5,New Haven Grand Ave (GAVA),1.25,2012,2014,
94,0,Newington,33.63,2012,2014,
95,0,New London,27.5,2012,2014,
95,1,New London - City Center District ,1.17,2012,2014,
95,1,New London + City Center District ,28.67,2012,2014,
96,0,New Milford,25.85,2012,2014,
96,1,New Milford - Fire District,0.72,2012,2014,
97,0,Newtown,33.32,2012,2014,
98,0,Norfolk,20.22,2012,2014,
99,0,North Branford,29.1,2012,2014,
100,0,North Canaan,25.5,2012,2014,
100,1,North Canaan - Fire District,1.85,2012,2014,
100,2,North Canaan + Fire District,27.35,2012,2014,
101,0,North Haven,28.1,2012,2014,
102,0,North Stonington,25.6,2012,2014,
103,1,Norwalk 1st  - Downtown,22.142,2012,2014,
103,2,Norwalk 2nd  - South,22.142,2012,2014,
103,3,Norwalk 3rd  - East,22.142,2012,2014,
103,4,Norwalk 4th  - Sewered Main Area,22.187,2012,2014,
103,5,Norwalk 5th - No Garbage Main Area,21.682,2012,2014,
103,6,Norwalk 6th - Rowayton,20.157,2012,2014,
103,7,Norwalk 7th,20.157,2012,2014,
103,8,Norwalk 8th,22.142,2012,2014,
103,9,Norwalk 9th,22.142,2012,2014,
103,10,Norwalk - Motor Vehicle Rate,27.365,2012,2014,
103,1,Norwalk 1st - No Garbage,21.636,2012,2014,
103,2,Norwalk 2nd - No Garbage,21.636,2012,2014,
103,3,Norwalk 3rd - No Garbage,21.636,2012,2014,
103,4,Norwalk 4th - No Garbage,21.681,2012,2014,
103,8,Norwalk 8th - No Garbage,21.636,2012,2014,
103,9,Norwalk 9th - No Garbage,21.636,2012,2014,
104,0,"Norwich, City of",27.23,2012,2014,
104,1,"Norwich, City of (Paid Fire)",32.27,2012,2014,
104,2,"Norwich, City of (Vol Fire)",27.59,2012,2014,
105,0,Old Lyme,19.3,2012,2014,
106,0,Old Saybrook,15.2,2012,2014,
107,0,Orange,30.5,2012,2014,
108,0,Oxford,24.75,2012,2014,
109,0,Plainfield,28.36,2012,2014,
109,1,Plainfield - Fire District # 255,1.45,2012,2014,
109,2,Plainfield - Moosup Fire District,1.8,2012,2014,
109,3,Plainfield - Central Village Fire Distr.,2.875,2012,2014,
109,4,Plainfield - Wauregan Fire District,2.3,2012,2014,
110,0,Plainville,31.38,2012,2014,
111,0,Plymouth,35.45,2012,2014,
112,0,Pomfret,23.79,2012,2014,
112,1,Pomfret - Fire District,1,2012,2014,
112,1,Pomfret + Fire District,24.79,2012,2014,
113,0,Portland,31.28,2012,2014,
114,0,Preston,23.7,2012,2014,
115,0,Prospect,28.08,2012,2014,
116,0,Putnam,15.07,2012,2014,
116,1,Putnam - Special Service District,7.4,2012,2014,
116,1,Putnam + Special Service District,22.47,2012,2014,
116,2,Putnam - West Putnam District,1,2012,2014,
116,3,Putnam - East Putnam District,1.5,2012,2014,
117,0,Redding,28.95,2012,2014,
118,0,Ridgefield,25.38,2012,2014,
119,0,Rocky Hill,26.6,2012,2014,
120,0,Roxbury,13.3,2012,2014,
