Code,Service District Code,Municipality,FY 2017 Mill Rate,FY 2017 Mill Rate - Real & Personal Property                  (PA 16-3 S.189 May SS),FY 2017 Mill Rate - Motor Vehicle          (PA 16-3 S.189 May SS)
1,0,Andover,30.72,,
2,0,Ansonia,,37.32,37
3,0,Ashford,,32.368,32
4,0,Avon,29.52,,
5,0,Barkhamsted,28.36,,
5,1,Barkhamsted Fire District,1.66,,
6,0,Beacon Falls,,32.9,32
7,0,Berlin,30.81,,
7,1,Berlin - Kensington FD,1.1,,
7,2,Berlin -Worthington FD,1.8,,
8,0,Bethany,35.5,,
9,0,Bethel,,32.17,32
10,0,Bethlehem,23.41,,
11,0,Bloomfield,36.65,,
11,1,"Bloomfield, Center FD",,1,0.349
11,2,"Bloomfield, Blue Hills FD",,2.5,0.35
12,0,Bolton,,37.5,37
13,0,Bozrah,27.5,,
14,0,Branford,27.41,,
15,0,Bridgeport,,54.37,37
16,0,Bridgewater,16.454,,
17,0,Bristol,36.03,,
18,0,Brookfield,26.4,,
19,0,Brooklyn,26.34,,
19,1,Brooklyn - East Brooklyn FD,1.75,,
20,0,Burlington,31.6,,
21,0,Canaan,24,,
22,0,Canterbury,24.5,,
23,0,Canton,29.76,,
24,0,Chaplin,35.05,,
25,0,Cheshire,31.19,,
26,0,Chester,25.57,,
27,0,Clinton,27.14,,
28,0,Colchester,30.91,,
29,0,Colebrook,29.3,,
30,0,Columbia,27.44,,
31,0,Cornwall,15.31,,
32,0,Coventry,31.2,,
33,0,Cromwell,31.38,,
33,1,Cromwell Fire District,2.25,,
34,0,Danbury,28.68,,
35,0,Darien,15.77,,
36,0,Deep River,27.53,,
37,0,Derby,,39.37,37
38,0,Durham,35.31,,
39,0,Eastford,25.11,,
40,0,East Granby,31.1,,
41,0,East Haddam,29.35,,
42,0,East Hampton,29.44,,
43,0,East Hartford,,45.86,37
44,0,East Haven,31.55,,
45,0,East Lyme,25.36,,
46,0,Easton,30.81,,
47,0,East Windsor,30.93,,
47,1,East Windsor - Warehouse Point FD,1.2,,
48,0,Ellington,30.5,,
49,0,Enfield,,30.86,28.8
