1,0,Andover,33.95,,
2,0,Ansonia,37.32,,
3,0,Ashford,34.767,,
4,0,Avon,31.35,,
4,1,"Avon, Farmington Woods",14.6589,,
5,0,Barkhamsted,29.86,,
5,1,Barkhamsted Fire District,1.66,,
6,0,Beacon Falls,35.9,,
7,0,Berlin,32.5,,
7,1,Berlin - Kensington FD,1.1,,
7,2,Berlin -Worthington FD,1.7,,
8,0,Bethany,36.9,,
9,0,Bethel,,32.87,32
10,0,Bethlehem,24.15,,
11,0,Bloomfield,37.52,,
11,1,"Bloomfield, Center FD",1.1,,
11,2,"Bloomfield, Blue Hills FD",2.5,,
12,0,Bolton,39,,
13,0,Bozrah,27.5,,
14,0,Branford,28.64,,
15,0,Bridgeport,,54.37,45
15,1,Bridgeport Downtown Special Service District,3,,
16,0,Bridgewater,17.2,,
17,0,Bristol,36.88,,
18,0,Brookfield,28.34,,
19,0,Brooklyn,28.09,,
19,1,Brooklyn - East Brooklyn FD,1.75,,
20,0,Burlington,32.5,,
21,0,Canaan,23.9,,
22,0,Canterbury,26.2,,
23,0,Canton,30.7,,
24,0,Chaplin,32.5,,
25,0,Cheshire,32.62,,
26,0,Chester,27.11,,
27,0,Clinton,30.54,,
28,0,Colchester,32.28,,
29,0,Colebrook,30.9,,
30,0,Columbia,29.33,,
31,0,Cornwall,16.62,,
32,0,Coventry,32.2,,
33,0,Cromwell,30.33,,
33,1,Cromwell Fire District,2.5,,
34,0,Danbury,27.6,,
35,0,Darien,16.08,,
36,0,Deep River,29.42,,
37,0,Derby,39.37,,
38,0,Durham,36.5,,
39,0,Eastford,26.11,,
40,0,East Granby,33,,
41,0,East Haddam,29.66,,
42,0,East Hampton,32.21,,
43,0,East Hartford,,47.66,45
44,0,East Haven,32.45,,
45,0,East Lyme,27.35,,
46,0,Easton,31.38,,
47,0,East Windsor,33.9,,
47,1,East Windsor - Warehouse Point FD,1.4,,
48,0,Ellington,31.7,,
49,0,Enfield,33.4,,
49,1,Enfield Fire District #1,3.6,,
49,2,Enfield Thompsonville FD #2,6.73,,
49,3,"Enfield, Hazardville Fire Dist.#3",2.87,,
49,4,"Enfield, No. Thompsonville Fire Dist. #4",3.15,,
49,5,Enfield Shaker Pines Fire Dist #5,3,,
50,0,Essex,21.85,,
51,0,Fairfield,26.36,,
52,0,Farmington,27.18,,
53,0,Franklin,25.72,,
54,0,Glastonbury,36,,
55,0,Goshen,19.6,,
55,0,Goshen - Woodridge Lake Sewer District,4.3,,
56,0,Granby,38.69,,
57,0,Greenwich,11.369,,
57,1,Greenwich - Sewer District,0.463,,
57,1,Greenwich - Sewer Improvement,0.039,,
58,0,Griswold,27.95,,
59,0,"Groton, Town of",24.17,,
59,1,Groton Sewer District,0.27,,
59,2,"Groton, City of Groton",4.58,,
59,3,"Groton, Poquonock Bridge Fire",5.97,,
59,4,"Groton, Mystic Fire",2.24,,
59,5,"Groton, Noank Fire",1.39,,
59,6,"Groton, Old Mystic Fire",2.9,,
59,8,Groton - Center Fire,3.5,,
59,9,"Groton, W. Pleasant Valley Fire",4.48,,
59,10,"Groton, Mumford Cove",0.34,,
59,13,"Groton, Long Point Assoc.",3.71,,
60,0,Guilford,31.28,,
61,0,Haddam,31.69,,
62,0,Hamden,,47.96,45
63,0,Hampton,28.5,,
64,0,Hartford,,74.29,45
65,0,Hartland,26.5,,
66,0,Harwinton,28,,
67,0,Hebron,37.44,,
67,1,Hebron Amston Lake District,1.38,,
68,0,Kent,18.61,,
69,0,Killingly,27.76,,
69,1,Killingly Attawaugan FD,3.22,,
69,2,Killingly Dayville FD,1.9,,
69,3,Killingly Dyer Manor,0.5,,
69,4,Killingly E. Killiingly FD,2,,
69,5,Killingly District 5 Orient Heights,0.63,,
69,6,Killingly Williamsville FD,2.45,,
69,7,Killingly So. Killingly FD,2.4,,
70,0,Killingworth,27.47,,
71,0,Lebanon,29.4,,
71,1,Lebanon Amston Lake District,2.8,,
72,0,Ledyard,34.29,,
73,0,Lisbon,22.5,,
74,0,Litchfield,27.7,,
75,0,Lyme,18.6,,
76,0,Madison,28.04,,
77,0,Manchester (Town),35.81,,
77,1,Manchester - Special,,6.06,
77,2,Manchester 8th Fire + Sewer,4.8,,
77,3,Manchester 8th Buckland Section Fire,,,
77,4,Manchester Eighth District Base,35.81,,
77,5,Manchester South Manchester Fire District,5.1,,
78,0,Mansfield,30.88,,
79,0,Marlborough,36.52,,
80,1,Meriden Second,43.21,,
80,0,Meriden,41.04,,
81,0,Middlebury,32.51,,
82,0,Middlefield,34.49,,
83,0,Middletown,34.8,,
83,1,Middletown + City Fire,43.7,,
83,2,"Middletown, South Fire",4.983,,
83,3,"Middletown, Westfield Fire",1.545,,
83,4,"Middletown, City Fire",8.9,,
84,0,Milford,27.74,,
85,0,Monroe,35.24,,
86,0,Montville,31.73,,
87,0,Morris,26.57,,
87,,Morris - Deer Island Assoc.,2.24,,
88,0,Naugatuck,,48.35,45
89,0,New Britain,,50.5,45
89,1,New Britain - Downtown,3.8,,
90,0,New Canaan,16.96,,
90,1,New Canaan Sewer,0.648,,
91,0,New Fairfield,30.58,,
91,1,New Fairfield - Candlewood Hills Tax District,4.19,,
92,0,New Hartford,30.624,,
92,1,New Hartford Village FD #1,1.7,,
92,3,New Hartford Pine Meadow #3,2.44,,
92,4,New Hartford South End FD #4,0.7,,
93,0,New Haven,42.98,,
93,1,New Haven+Town Green (FKA Downtown),1.99,,
93,2,New Haven + Chapel West,2.5,,
